	date,close,volume,open,high,low,"deployment"#
16:00,63.93,"3,750,290",65,65.128,63.86
9/22/15,63.93,3756612,65,65.128,63.86
9/21/15,66.56,2917530,68.77,68.96,66.32
9/18/15,68.44,3777318,69.6,70.05,68.11
9/17/15,70.27,3832950,73.33,73.49,70
9/16/15,73.78,3873225,70.77,75.1,70.55
9/15/15,70.35,2474999,67.94,70.45,67.87
9/14/15,68.47,3022038,67.5,68.65,66.72
9/11/15,67.72,4626618,69.6,70.72,67.24
9/10/15,69.67,7792655,71.95,72.05,68.11
9/9/15,73.04,3619253,75.97,76.75,73
9/8/15,74.85,4000749,74.54,76.48,74.32
9/4/15,73.07,3084926,72.38,74.55,72.34
9/3/15,73.82,2924541,71.89,74.16,71.89
9/2/15,72.43,4609370,73.34,73.5,70.88
9/1/15,70.99,3906905,72.9,73.6399,70.51
8/31/15,75.05,2860606,77.23,77.68,74.92
8/28/15,78.2,2181867,77.68,79.33,77.04
8/27/15,78.52,3394989,76.15,78.98,75.68
8/26/15,74.29,4654631,77.61,77.66,71.25
8/25/15,75.71,3430729,79.31,79.6099,75.6
8/24/15,76.48,5953490,75,81.36,72.75
8/21/15,81.77,3787090,83.6,84.73,81.33
8/20/15,85.58,2531518,89,90,85.5
8/19/15,90.25,2241551,90.36,91.14,89.18
8/18/15,90.9,1789367,91.64,92,90.38
8/17/15,91.91,2461267,92,93.48,90.91
8/14/15,92.17,2170259,94.65,95.4631,92.04
8/13/15,94.62,2227837,97.58,98.23,94.59
8/12/15,97.45,2760153,97.22,97.84,94.13
8/11/15,99.53,2668444,102,102.1349,98.61
8/10/15,104,2365213,104.87,104.99,102.7
8/7/15,103.14,1967304,100.43,103.7758,100.42
8/6/15,100.7,1818353,100.72,102.61,99.99
8/5/15,101.27,1776937,101.01,103.71,100.8
8/4/15,100.3,1817300,101.1,102.295,99.33
8/3/15,100.8,2351051,103.1,103.72,100
7/31/15,103.23,2846938,103.92,105.43,101.81
7/30/15,104.12,5064894,99.24,104.7,99.01
7/29/15,96.03,4065380,98.17,99.8,95.87
7/28/15,98.01,2623113,98.89,99.99,97.38
7/27/15,99.23,2227663,100.03,101.26,98.1
7/24/15,102.43,1640599,104.84,104.84,101.45
7/23/15,104.3,2653894,104.2,105.65,103.01
7/22/15,101.25,1724135,100.92,101.88,99.7
7/21/15,101.42,1283905,100.09,102.09,99.85
7/20/15,100.02,1710909,101.16,102,99.85
7/17/15,101.71,1522537,103.8,103.88,101.53
7/16/15,103.8,1161931,104.42,104.88,102.76
7/15/15,103.42,2095064,107.13,107.13,102.45
7/14/15,107.26,1849061,107.6,108.74,106.57
7/13/15,107.89,3513144,108.81,110.31,107.28
7/10/15,103.9,2412976,106.78,106.98,103.52
7/9/15,105.2,2685230,106.26,109.052,104.81
7/8/15,104.14,3676067,108.62,109.5,103.8115
7/7/15,111.35,4675570,104.35,112,103.22
7/6/15,103.88,2234766,102.23,104.97,102.09
7/2/15,103.54,3017651,104.14,105,102.43
7/1/15,103.07,4536407,102.89,107.2699,102.45
6/30/15,98.67,4437282,95.9,100.2395,95.36
6/29/15,93.93,3081811,93.78,95.99,93.59
6/26/15,96.5,2347455,97.78,97.93,96.29
6/25/15,97.99,1540601,98.73,99,97.81
6/24/15,98.21,2292062,99.91,100.24,97.97
6/23/15,100.26,3518175,100.34,100.74,97.76
6/22/15,100.95,1687515,103.5,103.87,100.53
	####end###
